Route Name;Ascent Label;Ascent Type;Route Grade;Ascent Grade;Route Gear Style;Ascent Gear Style;Route Height;Ascent Height;# Ascents;Route Stars;Route ID;Route Link;Country;Country Link;Crag Name;Crag Link;Crag Path;Quality;Ascent Date;Log Date;Shot
WTF;WTF;Send;7A;6A+;Boulder;Boulder;;;1;*;723047952;http://www.thecrag.com/route/723047952;Switzerland;http://www.thecrag.com/area/11747203;Murgtal;http://www.thecrag.com/area/722997519;Murgtal - See - Batman;;21.08.2022 02:00;29.08.2022 13:42;
Mantle;Mantle;Send;5C+;5C+;Boulder;Boulder;;;1;**;723047112;http://www.thecrag.com/route/723047112;Switzerland;http://www.thecrag.com/area/11747203;Murgtal;http://www.thecrag.com/area/722997519;Murgtal - See - Batman;;21.08.2022 02:00;28.08.2022 08:37;
James Gordon;James Gordon;Send;6B;6B;Boulder;Boulder;;;1;**;723047637;http://www.thecrag.com/route/723047637;Switzerland;http://www.thecrag.com/area/11747203;Murgtal;http://www.thecrag.com/area/722997519;Murgtal - See - Batman;Classic;21.08.2022 02:00;28.08.2022 08:37;
Zwergendach;Zwergendach;Send;5;5;Boulder;Boulder;;;1;*;979190898;http://www.thecrag.com/route/979190898;Switzerland;http://www.thecrag.com/area/11747203;Murgtal;http://www.thecrag.com/area/722997519;Murgtal - See - Batman;;21.08.2022 02:00;28.08.2022 08:37;
Orpheus;Orpheus;Red point;6c;6c;Sport;Sport;15m;;1;***;551689452;http://www.thecrag.com/route/551689452;Austria;http://www.thecrag.com/area/11747227;Latschenturm;http://www.thecrag.com/area/551689143;Latschenturm - Wegseite;Classic;17.08.2022 02:00;17.08.2022 18:18;
Unverhofft kommt oft;Unverhofft kommt oft;Hang dog;7a;7a;Sport;Sport;10m;;1;**;551693142;http://www.thecrag.com/route/551693142;Austria;http://www.thecrag.com/area/11747227;Latschenturm;http://www.thecrag.com/area/551689143;Latschenturm - Steile Seite;Very Good;17.08.2022 02:00;17.08.2022 18:17;
Die Leiden des jungen Werthers;Die Leiden des jungen Werthers;Onsight;6a+;6a+;Sport;Sport;15m;;1;*;551697141;http://www.thecrag.com/route/551697141;Austria;http://www.thecrag.com/area/11747227;Latschenturm;http://www.thecrag.com/area/551689143;Latschenturm - Flache Seite;Good;17.08.2022 02:00;17.08.2022 18:13;
Sergeant Pepper;Sergeant Pepper;Red point;6c;6c;Sport;Sport;20m;;1;**;551866197;http://www.thecrag.com/route/551866197;Austria;http://www.thecrag.com/area/11747227;Oberried;http://www.thecrag.com/area/551864508;Oberried - Springtime;Classic;16.08.2022 02:00;17.08.2022 18:24;
Black Jack;Black Jack;Hang dog;6b+;6c;Sport;Sport;18m;;1;**;551872884;http://www.thecrag.com/route/551872884;Austria;http://www.thecrag.com/area/11747227;Oberried;http://www.thecrag.com/area/551864508;Oberried - Pinoccio;Very Good;16.08.2022 02:00;17.08.2022 18:22;
Mastablasta;Mastablasta;Attempt;6c;6c;Sport;Sport;16m;;1;*;551873763;http://www.thecrag.com/route/551873763;Austria;http://www.thecrag.com/area/11747227;Oberried;http://www.thecrag.com/area/551864508;Oberried - Pinoccio;Good;16.08.2022 02:00;17.08.2022 18:22;
Yosemite;Yosemite P1;Flash;6c;5c;Sport;Sport;30m;;1;**;551874219;http://www.thecrag.com/route/551874219;Austria;http://www.thecrag.com/area/11747227;Oberried;http://www.thecrag.com/area/551864508;Oberried - Pinoccio;Classic;16.08.2022 02:00;17.08.2022 18:22;
Bakerstreet;Bakerstreet;Flash;5c;5c;Sport;Sport;20m;;1;**;551879430;http://www.thecrag.com/route/551879430;Austria;http://www.thecrag.com/area/11747227;Oberried;http://www.thecrag.com/area/551864508;Oberried - Türkischer Honig;Mega Classic;16.08.2022 02:00;17.08.2022 18:20;
Auswärtsspiel;Auswärtsspiel;Attempt;8+/9-;8+;Sport;Sport;17m;;1;**;458616519;http://www.thecrag.com/route/458616519;Germany;http://www.thecrag.com/area/11747131;Frankenjura Nord;http://www.thecrag.com/area/11877937;Frankenjura Nord - Fränkische Schweiz - Mittleres Wiesenttal - Blechfass;Good;13.08.2022 02:00;13.08.2022 20:07;
Bullyparade;Bullyparade;Flash;8-;8-;Sport;Sport;20m;;1;*;458615934;http://www.thecrag.com/route/458615934;Germany;http://www.thecrag.com/area/11747131;Frankenjura Nord;http://www.thecrag.com/area/11877937;Frankenjura Nord - Fränkische Schweiz - Mittleres Wiesenttal - Blechfass;Very Good;13.08.2022 02:00;13.08.2022 20:07;
Sledgehammer;Sledgehammer;Hang dog;9-;9-;Sport;Sport;15m;;1;**;719724312;http://www.thecrag.com/route/719724312;Germany;http://www.thecrag.com/area/11747131;Frankenjura Nord;http://www.thecrag.com/area/11877937;Frankenjura Nord - Weißmain-Alb - Kleinziegenfeld - Diebesloch;Very Good;12.08.2022 02:00;13.08.2022 20:11;
Ronja;Ronja;Red point;7-;7-;Sport;Sport;15m;;2;*;245798070;http://www.thecrag.com/route/245798070;Germany;http://www.thecrag.com/area/11747131;Frankenjura Nord;http://www.thecrag.com/area/11877937;Frankenjura Nord - Weißmain-Alb - Kleinziegenfeld - Diebesloch;Good;12.08.2022 02:00;13.08.2022 20:11;
Advenzgronzkäznozündä;Advenzgronzkäznozündä;Attempt;9-;9-;Sport;Sport;15m;;1;**;17761813;http://www.thecrag.com/route/17761813;Germany;http://www.thecrag.com/area/11747131;Frankenjura Nord;http://www.thecrag.com/area/11877937;Frankenjura Nord - Weißmain-Alb - Kleinziegenfeld - Diebesloch;Good;12.08.2022 02:00;13.08.2022 20:11;
Steinschleuder;Steinschleuder;Red point;8/8+;8;Sport;Sport;22m;;1;**;458616168;http://www.thecrag.com/route/458616168;Germany;http://www.thecrag.com/area/11747131;Frankenjura Nord;http://www.thecrag.com/area/11877937;Frankenjura Nord - Fränkische Schweiz - Mittleres Wiesenttal - Blechfass;Classic;11.08.2022 02:00;11.08.2022 20:59;
